frame_index,time_s,x_min,y_min,x_max,y_max,x_center,y_center,dy_px
374,6.232166042446941,170,1408,467,1476,318.5,1442.0,937.5
375,6.248829588014981,170,1389,464,1457,317.0,1423.0,918.5
376,6.265493133583021,176,1354,459,1427,317.5,1390.5,886.0
377,6.282156679151061,179,1302,451,1377,315.0,1339.5,835.0
378,6.298820224719101,185,1230,444,1314,314.5,1272.0,767.5
379,6.315483770287141,182,1126,434,1230,308.0,1178.0,673.5
380,6.332147315855181,182,1031,421,1138,301.5,1084.5,580.0
381,6.348810861423221,178,952,419,1043,298.5,997.5,493.0
382,6.365474406991261,173,854,420,952,296.5,903.0,398.5
383,6.382137952559301,173,769,421,870,297.0,819.5,315.0
384,6.398801498127341,168,683,429,788,298.5,735.5,231.0
385,6.415465043695381,162,624,431,716,296.5,670.0,165.5
386,6.432128589263421,156,566,424,654,290.0,610.0,105.5
387,6.448792134831461,149,515,429,604,289.0,559.5,55.0
388,6.465455680399501,145,481,433,564,289.0,522.5,18.0
389,6.482119225967541,139,465,434,538,286.5,501.5,-3.0
390,6.498782771535581,139,459,438,531,288.5,495.0,-9.5
391,6.5154463171036205,141,456,438,541,289.5,498.5,-6.0
392,6.5321098626716605,150,478,429,575,289.5,526.5,22.0
393,6.5487734082397004,164,543,430,631,297.0,587.0,82.5
394,6.56543695380774,168,596,424,698,296.0,647.0,142.5
395,6.58210049937578,172,679,430,772,301.0,725.5,221.0
396,6.59876404494382,179,749,432,852,305.5,800.5,296.0
397,6.61542759051186,182,850,431,940,306.5,895.0,390.5
398,6.6320911360799,189,934,433,1024,311.0,979.0,474.5
399,6.64875468164794,191,1013,438,1111,314.5,1062.0,557.5
400,6.66541822721598,191,1102,441,1191,316.0,1146.5,642.0
401,6.68208177278402,194,1171,447,1268,320.5,1219.5,715.0
402,6.69874531835206,192,1250,452,1342,322.0,1296.0,791.5
403,6.7154088639201,189,1314,458,1405,323.5,1359.5,855.0
404,6.73207240948814,177,1382,465,1452,321.0,1417.0,912.5
405,6.74873595505618,173,1410,468,1477,320.5,1443.5,939.0
406,6.76539950062422,172,1416,469,1482,320.5,1449.0,944.5
407,6.78206304619226,172,1400,465,1470,318.5,1435.0,930.5
408,6.7987265917603,177,1370,463,1440,320.0,1405.0,900.5
409,6.81539013732834,184,1321,456,1396,320.0,1358.5,854.0
